"no","id","context","sentence","intentionality","factivity","pictoriality","sense"
68,"CEW","W_biography","  his son during his engagement was later destroyed by Constanze, so we can only imagine the bitter accusations which must have passed back and forth between Salzburg and Vienna.",0.356314219208602,1.24851478410836,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
69,"FAJ","W_fict_prose","  . He hands me a brown manila file, and a handwritten invoice which I imagine he is giving to me now while the connection between the reams of faxes and",-2.10628698881421,1.45180108225928,-1.1621154989102,"3-SUPPOSE/ASSUME"
70,"G3P","W_misc","  (deleted:figure) Now it is time to fight the Minotaur! Look at the picture and imagine what happened in the fight. Work out the answers to these questions. #",1.17718128854954,1.04522848595743,1.07646614522456,"1-VIZUALIZE/PICTURE"
71,"HHB","W_fict_prose","  first time on a horse, for Pete's sake. And please don't imagine that I haven't landed on my backside before today. It can happen to",-1.69585345414374,-1.19092079370278,0.516820734190873,"3-SUPPOSE/ASSUME"
72,"KBH","S_conv","  (SP:PS05B) No, not really. (SP:PS05E) Did you hear that noise? (SP:PS05J) Well imagine three pieces of felt one on top of the other (SP:PS05H) Are you pushing (unclear)",0.766747753879071,-0.78434819740092,0.88991767488,"1-VIZUALIZE/PICTURE"
73,"CDW","W_religion","  institutions are judged.' The simplest way to understand how catallaxy works is to imagine it to be a game. The Oxford English Dictionary defines a game as'",0.971964521214306,-1.19092079370278,-0.0428246768428166,"1-VIZUALIZE/PICTURE"
74,"H49","S_meeting","  on King Street just to the left of the existing tree, if you can imagine that, and coming back across the marketplace (unclear) (SP:H49PSUNK) (cough) (SP:PS1XD) where the dropped",0.971964521214306,1.65508738041021,1.9159342617751,"1-VIZUALIZE/PICTURE"
75,"H0F","W_fict_prose","  cousins you hadn't seen in years, bringing engagement presents. She tried to imagine what her own party would be like when (if) someone wanted to marry",0.971964521214306,-1.3942070918537,1.44956308591369,"1-VIZUALIZE/PICTURE"
76,"CMK","W_misc","  going cold and hungry. Happily, the reality is far rosier than many people imagine. For a start, those retiring today are better off financially than any previous",-1.49063668680851,-1.29256394277824,-1.1621154989102,"4-FALSE_PERCEPTION"
77,"H9M","W_commerce","  an illustration take the link between P t and its own past values,... Imagine that we regress the actual price index on its own past values: where the",0.971964521214306,-0.78434819740092,-0.78901855822107,"1-VIZUALIZE/PICTURE"
78,"KBF","S_conv","  care whether a man's a bit boring. (SP:PS04U) Yes. Because I can imagine Paul being sort of a homely chap. (SP:PS04Y) He is. (SP:PS04U) If he gets",0.971964521214306,1.04522848595743,0.516820734190873,"1-VIZUALIZE/PICTURE"
79,"CHA","W_pop_lore","  part of the mainstream and generally bringing the whole world down:' I could imagine Revolver being on Top Of The Pops, but I couldn't imagine David Bowie",-0.259336082797102,0.0287969952027908,-0.415921617531943,"1-VIZUALIZE/PICTURE"
80,"GUK","W_fict_prose","  been sleepwalking again. Up and down she goes, talking gibberish. You can imagine what it reminds me of, it's terribly upsetting. But Madeleine won't",0.356314219208602,0.232083293353719,-0.975567028565633,"3-SUPPOSE/ASSUME"
81,"CRK","W_religion","  third and fourth sessions approved of texts and ideas that it would be hard to imagine would have appealed to many of the bishops before the Council began. This dynamic",0.151097451873367,-0.987634495551847,-0.882292793393351,"2-THINK/BELIVE"
82,"FA2","W_misc","  excursion, remember that others may be making it too; in summer I can imagine it becoming exceedingly crowded up here and the path to the Lac de Gaube an",-0.259336082797102,0.841942187806502,1.44956308591369,"1-VIZUALIZE/PICTURE"
83,"A61","W_biography","  drew my fingers over my face, tenderly rubbing at the swellings and could well imagine what the scene looked like.' Piper, it's a bloody good job",0.766747753879071,0.841942187806502,1.63611155625825,"1-VIZUALIZE/PICTURE"
85,"CJ3","W_non_ac_nat_science","  after the first and the female the second. It is not too difficult to imagine how this could slip quietly into polyandry: females could develop the habit of mating",0.356314219208602,-0.987634495551847,-0.415921617531943,"3-SUPPOSE/ASSUME"
87,"CET","W_non_ac_nat_science","  , and a single line around it in the shape of an ellipse. (Imagine a' squashed circle' with the Sun just off-centre.) However, the",1.17718128854954,-0.78434819740092,2.19575696729194,"1-VIZUALIZE/PICTURE"
